	Characteristics	OR	CI	Beta	P	SE
24	hypertensionyes	0.0011	0-3368517.0601	-6.85008391339368	0.539945576622692	11.1632995292711
25	p_Fusobacteria	0	0-0	-279.940001123111	0.0372518241841861	133.772526199274
26	sexmale	6278.2225	0-264366630771663	8.7448421800722	0.484097186438968	12.4813856267858
27	BMI	0.1822	0.0015-21.4995	-1.70263579063933	0.484791182151521	2.43401381279332
28	hypertensionyes	0.0268	0-84889318.8762	-3.62000829789841	0.745926561720812	11.1616669045794
29	p_Euryarchaeota	Inf	Inf-Inf	2770.64043113098	0.000102398423692079	703.281010728233
30	sexmale	11489.0145	0-301253919456542	9.34914659835758	0.445587301926199	12.239708169865
31	BMI	0.3042	0.0028-32.9974	-1.19014771171778	0.619046922385874	2.39111070591068
32	hypertensionyes	1e-04	0-95049.4351	-9.87005116063653	0.365236876169098	10.883777329248
33	p_Tenericutes	Inf	Inf-Inf	8174.98044820905	2.28640791844469e-05	1898.82187061626
34	sexmale	2283.8319	0-54237042953171.2	7.73360998845759	0.526278909698222	12.1891710468326
35	BMI	0.1822	0.0017-19.2318	-1.70246479121503	0.474441495638217	2.37705492153559
36	hypertensionyes	0	0-41210.9969	-10.6176950642439	0.328105067937934	10.8388548363977
37	p_Lentisphaerae	Inf	Inf-Inf	9510.86909873613	2.47470486041808e-05	2218.73824778817
38	sexmale	174.6403	0-4510678326564.1	5.16272841612109	0.673289888397232	12.2320103301099
39	BMI	0.1801	0.0017-19.0316	-1.7141955136222	0.47152528220511	2.37770179655152
40	hypertensionyes	0.001	0-1537658.0161	-6.93179124088779	0.52167861407971	10.8048787188734
41	p_Patescibacteria	Inf	Inf-Inf	14106.2488535615	0.0163389929202127	5840.16085824997
42	sexmale	25813.6961	0-999885039595142	10.1586604858311	0.414776622089707	12.4387759908501
43	BMI	0.3758	0.0031-45.0263	-0.978645848769665	0.688869593207335	2.44178140236117
44	hypertensionyes	6e-04	0-1437329.1315	-7.45187302060747	0.500059808884874	11.0358011225343
45	p_Cyanobacteria	Inf	0-Inf	1205.2048815263	0.810730956034048	5027.92330830022
46	sexmale	24801.7946	0-1303339002548152	10.1186712907372	0.422388915429457	12.5944053771808
47	BMI	0.2076	0.0017-25.6576	-1.57212808738839	0.522880262175083	2.45763669009391
48	hypertensionyes	9e-04	0-3037369.4281	-6.97318559602048	0.533058776327372	11.1733101913818
49	p_Epsilonbacteraeota	0	0-Inf	-4091.69221302425	0.630204949466781	8489.8366356403
50	sexmale	35253.1116	0-1922799413329490	10.4703090756273	0.407170474162661	12.6133925873512
51	BMI	0.1867	0.0015-22.9417	-1.67844619582959	0.494686373556058	2.45479710769194
52	hypertensionyes	0.0015	0-4832397.0652	-6.47433828949438	0.562123473328634	11.155709938165
53	c_Clostridia	5.63625340196112e+81	3.97381354261689e+56-7.99417286957013e+106	188.238612086857	7.40288628099553e-10	29.5480207425931
54	sexmale	4353713.0354	4e-04-47716753268325592	15.2865396103476	0.19598999621204	11.7946527256897
55	BMI	0.1956	0.0022-17.6151	-1.63156001052028	0.477914610803775	2.29608070427323
56	hypertensionyes	1e-04	0-106714.3575	-8.88386076808453	0.395490177313994	10.4396794674796
57	c_Bacteroidia	0	0-0	-103.889688446232	0.000854901468644882	30.8308473716139
58	sexmale	125149.5078	0-3959382246311014	11.7372643637197	0.342144610771891	12.3355102274908
59	BMI	0.4459	0.0039-50.8934	-0.807683219966274	0.738500594518866	2.41704970870139
60	hypertensionyes	0.0016	0-3171784.5695	-6.45449815697952	0.555324283893585	10.930766887806
61	c_Gammaproteobacteria	0	0-0	-92.5920290356272	0.00498364476864169	32.7200223575915
62	sexmale	21616.4498	0-765081857318816	9.98120986909984	0.421246976252211	12.3927520805928
63	BMI	0.1755	0.0015-20.1187	-1.73986267684325	0.472594426798726	2.41913978862464
64	hypertensionyes	0.001	0-2180432.6118	-6.9491815837079	0.527751685736365	10.9919466553868
65	c_Negativicutes	0	0-0	-314.051642372202	0.0238964843562544	138.30160969746
66	sexmale	20793.2888	0-827631734758318	9.9423855593182	0.425285354282035	12.4526550241193
67	BMI	0.2656	0.0023-31.3224	-1.32572872822365	0.586354630231859	2.43370503009084
68	hypertensionyes	2e-04	0-551082.9616	-8.47841389754545	0.444384128328276	11.070435989723
69	c_Verrucomicrobiae	0	0-4.69170555818942e+53	-41.6542806876112	0.621616247813498	84.3046361179126
70	sexmale	21358.0284	0-1046448453218340	9.96918298323919	0.427958070760789	12.5586711311232
71	BMI	0.1778	0.0014-22.1547	-1.72723723311842	0.483497943171279	2.46188112924519
72	hypertensionyes	0.0012	0-3779791.4123	-6.68845784200794	0.548696144307087	11.1396108296733
73	c_Erysipelotrichia	3.83126620831502e+306	3.79423031009808e+48-Inf	705.934233807427	0.0205460349747991	303.100340699119
74	sexmale	9547.6154	0-378796981691382	9.16404670724294	0.462322511623322	12.4510075519827
75	BMI	0.2097	0.0018-24.5203	-1.56214007178702	0.520725975937045	2.42940940823513
76	hypertensionyes	0.0019	0-4795382.6402	-6.25932720598308	0.571248707406653	11.0420873821094
77	c_Coriobacteriia	2.32778078037907e+63	0-4.65053724749993e+301	145.907776217556	0.602635488977166	279.952714042691
78	sexmale	22429.8804	0-1100346755208300	10.0181492968535	0.425718655830357	12.5593124796908
79	BMI	0.1956	0.0016-23.8683	-1.63164058942173	0.506151824300002	2.45111857294829
80	hypertensionyes	0.0012	0-3563020.254	-6.74419303626686	0.545310953993762	11.1379143700872
81	c_Deltaproteobacteria	Inf	Inf-Inf	2131.32799827146	9.13545341767029e-05	537.079220133284
82	sexmale	368.2508	0-10360673875574	5.90876424864171	0.630638954548213	12.2756500754631
83	BMI	0.1676	0.0016-18.0747	-1.7863797032309	0.455068875329176	2.38821068969514
84	hypertensionyes	4e-04	0-712775.8155	-7.79762499869757	0.473099452876142	10.8543608287757
85	c_Synergistia	1.28964696222242e+249	8.29000986986278e+48-Inf	573.59805666374	0.0153322029979851	235.183122979747
86	sexmale	7366.7059	0-287513508274562	8.90472592554787	0.474777655560217	12.4426352218455
87	BMI	0.1657	0.0014-19.3349	-1.79762537140458	0.459736737202918	2.42833525146535
88	hypertensionyes	0.0047	0-11740447.6412	-5.36977259548627	0.627215432395138	11.0450628044373
89	o_Clostridiales	5.20675674932749e+81	3.62241491571293e+56-7.48404489200591e+106	188.159349689519	7.580452051447e-10	29.5548181503272
90	sexmale	4363539.3149	4e-04-47918771413021632	15.2887940554831	0.195962243749347	11.7956579870477
91	BMI	0.1953	0.0022-17.5887	-1.63342340525747	0.477447806342108	2.29626511479949
92	hypertensionyes	1e-04	0-107509.1853	-8.87803494909246	0.395836509835228	10.4404931205617
93	o_Bacteroidales	0	0-0	-106.704313029331	0.000602237927233898	30.7604542464926
94	sexmale	143203.2982	0-4418035431287487	11.8720205651813	0.336137951149095	12.3226790583941
95	BMI	0.4617	0.0041-52.4531	-0.772834902940276	0.749155594983118	2.41467104419221
96	hypertensionyes	0.0017	0-3264431.9046	-6.40177764119118	0.558117619577123	10.9185581383826
97	o_Enterobacteriales	0	0-0	-127.642951156203	0.000184827066579264	33.697417731779
98	sexmale	70975.1621	0-1963658047000594	11.1700852652067	0.363279127556456	12.2670919459127
99	BMI	0.1423	0.0013-15.5493	-1.95012271835187	0.416167457655548	2.39496840367528
100	hypertensionyes	0.0038	0-6939066.7766	-5.57387447337451	0.608858528619196	10.8808940441744
101	o_Selenomonadales	0	0-0	-314.051642372202	0.0238964843562544	138.30160969746
102	sexmale	20793.2888	0-827631734758318	9.9423855593182	0.425285354282035	12.4526550241193
103	BMI	0.2656	0.0023-31.3224	-1.32572872822365	0.586354630231859	2.43370503009084
104	hypertensionyes	2e-04	0-551082.9616	-8.47841389754545	0.444384128328276	11.070435989723
105	o_Verrucomicrobiales	0	0-5.73448863774583e+52	-43.7744926242399	0.6040296370216	84.3139877762069
106	sexmale	21469.8737	0-1050870218706024	9.97440601006592	0.42769747759799	12.5581576456561
107	BMI	0.1768	0.0014-22.0229	-1.73296267391811	0.482028777863248	2.46175866535413
108	hypertensionyes	0.0012	0-3779230.0607	-6.68746179351246	0.548734697857977	11.1390268636273
109	o_Erysipelotrichales	3.83126620831502e+306	3.79423031009808e+48-Inf	705.934233807427	0.0205460349747991	303.100340699119
110	sexmale	9547.6154	0-378796981691382	9.16404670724294	0.462322511623322	12.4510075519827
111	BMI	0.2097	0.0018-24.5203	-1.56214007178702	0.520725975937045	2.42940940823513
112	hypertensionyes	0.0019	0-4795382.6402	-6.25932720598308	0.571248707406653	11.0420873821094
113	o_Coriobacteriales	2.32778078037907e+63	0-4.65053724749993e+301	145.907776217556	0.602635488977166	279.952714042691
114	sexmale	22429.8804	0-1100346755208300	10.0181492968535	0.425718655830357	12.5593124796908
115	BMI	0.1956	0.0016-23.8683	-1.63164058942173	0.506151824300002	2.45111857294829
116	hypertensionyes	0.0012	0-3563020.254	-6.74419303626686	0.545310953993762	11.1379143700872
117	o_Desulfovibrionales	Inf	Inf-Inf	2102.15023263243	0.000124398531598314	540.380647932068
118	sexmale	338.1783	0-9814644942549.28	5.82357321676818	0.636008118621605	12.2914916077817
119	BMI	0.1646	0.0015-17.8466	-1.8040107584564	0.451111610297532	2.39072781766425
120	hypertensionyes	4e-04	0-628336.37	-7.94740624998288	0.465145069705068	10.8664475373111
121	o_Synergistales	1.28964696222242e+249	8.29000986986278e+48-Inf	573.59805666374	0.0153322029979851	235.183122979747
122	sexmale	7366.7059	0-287513508274562	8.90472592554787	0.474777655560217	12.4426352218455
123	BMI	0.1657	0.0014-19.3349	-1.79762537140458	0.459736737202918	2.42833525146535
124	hypertensionyes	0.0047	0-11740447.6412	-5.36977259548627	0.627215432395138	11.0450628044373
125	o_Betaproteobacteriales	1.92726227078622e+247	3.58853867786836e+48-Inf	569.394618452859	0.0153348306898852	233.4657086342
126	sexmale	64539.4672	0-2531650693062132	11.0750322103951	0.374258122865313	12.4452121032419
127	BMI	0.259	0.0022-30.2913	-1.35101193001898	0.578586337543681	2.42952736808524
128	hypertensionyes	0.0062	0-15828535.5181	-5.08417573480749	0.645839127107704	11.0517860455691
129	o_Pseudomonadales	43965444881871248	0-1.86611180878753e+139	38.3221803766913	0.790419484954592	144.061737025039
130	sexmale	24495.3835	0-1263959683810772	10.1062399499009	0.422615888346923	12.5850948186257
131	BMI	0.1861	0.0015-23.3466	-1.68127104608092	0.495777628577151	2.46516368435768
132	hypertensionyes	0.0016	0-5785811.8366	-6.42034692292182	0.567616625080422	11.2200337583933
133	f_Lachnospiraceae	0	0-1.197699339144e+33	-19.5824346258969	0.688819626948923	48.851094486684
134	sexmale	14548.2681	0-749995296739815	9.58522723762484	0.44688294159871	12.5846228641841
135	BMI	0.2231	0.0018-28.1134	-1.49995091386919	0.54373388418248	2.46744678623362
136	hypertensionyes	0.0013	0-4023244.2232	-6.63673344256764	0.5519845783645	11.1450676522376
137	f_Ruminococcaceae	4.80181367626e+136	1.49047460543123e+99-1.54698473207778e+174	314.720566342958	7.47423881297856e-12	44.0640548674357
138	sexmale	3147143.6517	4e-04-23745243546644332	14.9620058222034	0.198301934723423	11.6041595976585
139	BMI	0.7089	0.0083-60.3594	-0.344103916273516	0.879489500746329	2.26756169018549
140	hypertensionyes	1e-04	0-53919.322	-9.25162881556719	0.368843020176807	10.2790168298027
141	f_Bacteroidaceae	0	0-0	-191.242398514054	8.92332471415291e-07	38.0736410181432
142	sexmale	7567.8941	0-136784621583339	8.93167011806335	0.459158882620271	12.049876827249
143	BMI	0.6068	0.0059-62.1712	-0.499491779614051	0.832664847434383	2.36193038470305
144	hypertensionyes	0.0086	0-10842916.7021	-4.76084661251978	0.656511066534696	10.6938108156959
145	f_Enterobacteriaceae	0	0-0	-127.634681006536	0.000184989019217675	33.6972676235329
146	sexmale	70978.6679	0-1963893182745775	11.1701346587538	0.363278410614985	12.2671278352072
147	BMI	0.1423	0.0013-15.5499	-1.95009624267367	0.416175094234759	2.39497516898518
148	hypertensionyes	0.0038	0-6939478.086	-5.57387706143214	0.608859400862728	10.8809256057869
149	f_Prevotellaceae	0	0-3.81087668238506e+22	-51.8672779115452	0.32849872897521	52.9908210308405
150	sexmale	48488.5175	0-2453731701972644	10.7890822954418	0.391621034396316	12.5751551575924
151	BMI	0.2224	0.0018-27.1065	-1.50322884833353	0.540071277023144	2.45051061075463
152	hypertensionyes	0.0011	0-3339741.2013	-6.78280385940869	0.542531416024441	11.1245957840372
153	f_Clostridiaceae_1	4.33899233037792e+25	0-1.04015379839947e+102	59.0322694640645	0.511133880401932	89.7299890850124
154	sexmale	24071.7146	0-1175661904678804	10.0887927639961	0.422382713537751	12.5570484403238
155	BMI	0.2115	0.0017-25.8417	-1.55358949571666	0.526812964015187	2.45182523662208
156	hypertensionyes	0.001	0-2971755.5788	-6.92397296455649	0.534625538449693	11.1370593901434
157	f_Peptostreptococcaceae	8.32898903640747e+63	0-1.39073176004379e+156	147.182602943262	0.175364898001333	108.342092662501
158	sexmale	9950.3022	0-464345113523266	9.20535819717813	0.463275217846064	12.5338219253342
159	BMI	0.2087	0.0017-25.1361	-1.56681070609418	0.522051955438513	2.44444766895196
160	hypertensionyes	0.0041	0-12702600.1157	-5.49185666264028	0.622632577585019	11.1475377176699
161	f_Akkermansiaceae	0	0-5.51212723878761e+52	-43.8072140367346	0.603744455446773	84.3105048417499
162	sexmale	21472.2277	0-1050968728865986	9.97451564376763	0.427692106445425	12.5581495351529
163	BMI	0.1767	0.0014-22.0209	-1.73304836706517	0.482006521498268	2.46175523146363
164	hypertensionyes	0.0012	0-3779022.0139	-6.68749521925997	0.548732305484416	11.1390158300463
165	f_Acidaminococcaceae	0	0-6.53377346457229e+173	-94.1384919953076	0.709250199737966	252.225866186532
166	sexmale	23514.775	0-1172967864009048	10.0653842262642	0.423855921450688	12.5678210926177
167	BMI	0.1874	0.0015-23.1303	-1.67454046340833	0.496073299964831	2.45698174330155
168	hypertensionyes	0.0012	0-3777174.4936	-6.69441329343084	0.548436817296452	11.1422959658464
169	f_Christensenellaceae	Inf	1.33316343822502e+270-Inf	941.455125991013	1.9752479967824e-08	162.994691958989
170	sexmale	3233.766	0-43533680627548.2	8.08140268330685	0.497596411949163	11.8995680298092
171	BMI	0.2182	0.0023-20.6595	-1.52237717835626	0.512530153226187	2.32171099244643
172	hypertensionyes	0	0-40434.8023	-10.1027041271648	0.339812873278655	10.5664031950354
173	f_Erysipelotrichaceae	4.01434367424461e+306	4.00851744963707e+48-Inf	705.980912321782	0.0205360146880418	303.096125713478
174	sexmale	9546.0397	0-378721707336269	9.16388165890818	0.462329948858945	12.4509903627304
175	BMI	0.2097	0.0018-24.52	-1.56214701644294	0.520723502200196	2.42940578396994
176	hypertensionyes	0.0019	0-4795509.3746	-6.25926916313571	0.571251712369323	11.0420712521241
177	f_Rikenellaceae	Inf	3.69498398048551e+107-Inf	763.370666082291	0.00400080006271496	263.105655567854
178	sexmale	17350.4091	0-603965473810920	9.76137136407415	0.431221482940582	12.3842687681585
179	BMI	0.1876	0.0016-21.419	-1.67332391251164	0.489321832836431	2.41714505846497
180	hypertensionyes	0.0024	0-5458636.1126	-6.02226508784213	0.58403615416005	10.987231942929
181	f_Tannerellaceae	4.1865700540412e+181	0-Inf	418.199783627764	0.202504994309513	327.397173868897
182	sexmale	17124.7932	0-790872452725239	9.74828258636396	0.437153626642486	12.5285077735691
183	BMI	0.1383	0.0011-17.236	-1.97807570038614	0.42233672170372	2.46177399655343
184	hypertensionyes	0.0043	0-13668134.9476	-5.44359337312695	0.626086515708275	11.1602913972162
185	f_Desulfovibrionaceae	Inf	Inf-Inf	2102.18036723758	0.000124325299760369	540.367499966115
186	sexmale	338.1005	0-9811966148521.52	5.82334314643539	0.636020850608325	12.2914697172834
187	BMI	0.1646	0.0015-17.8458	-1.80404845707971	0.451101321441372	2.39072337992194
188	hypertensionyes	4e-04	0-628313.1922	-7.94740148875287	0.465144464838562	10.8664262875161
189	f_Coriobacteriaceae	8.08976324706913e+104	0-Inf	241.559449137137	0.463119444361495	328.787615744946
190	sexmale	30853.1199	0-1531941080009595	10.3369931550858	0.411384839738076	12.5654688014693
191	BMI	0.179	0.0015-21.9732	-1.72014887252048	0.48390590356263	2.4540683344643
192	hypertensionyes	0.0012	0-3501243.9936	-6.75138531784982	0.544693030980703	11.1326603101607
193	f_Synergistaceae	1.31961859772359e+249	8.49964363030506e+48-Inf	573.621030909246	0.0153277053010418	235.182103167735
194	sexmale	7366.125	0-287484827093491	8.90464706041532	0.474781186140077	12.4426245607301
195	BMI	0.1657	0.0014-19.3346	-1.79763743505084	0.459733336178581	2.42833312900663
196	hypertensionyes	0.0047	0-11740690.557	-5.3697316834686	0.627217733639064	11.0450524872326
197	f_Burkholderiaceae	1.53942487010896e+246	1.91233934423256e+47-Inf	566.867341762239	0.0158822943703141	233.67220158742
198	sexmale	64185.4103	0-2524389533319595	11.0695312102711	0.374546536139658	12.4465532903845
199	BMI	0.2575	0.0022-30.1338	-1.35658758486568	0.577049413725539	2.42971120455323
200	hypertensionyes	0.0061	0-15621812.5329	-5.09931891881221	0.644887593371252	11.0528049253532
201	f_Marinifilaceae	Inf	4.59573759292163e+188-Inf	1512.97894890767	0.00634618253673773	550.289705184234
202	sexmale	146237.5726	0-5494239944672651	11.8929877879785	0.33920583659982	12.4232086059184
203	BMI	0.1631	0.0014-18.7832	-1.8134755752478	0.45455127561936	2.42165174625107
204	hypertensionyes	0.0012	0-2754438.2372	-6.73145219456875	0.541055139546553	11.0000899324929
205	g_Bacteroides	0	0-0	-191.242398514054	8.92332471415291e-07	38.0736410181432
206	sexmale	7567.8941	0-136784621583339	8.93167011806335	0.459158882620271	12.049876827249
207	BMI	0.6068	0.0059-62.1712	-0.499491779614051	0.832664847434383	2.36193038470305
208	hypertensionyes	0.0086	0-10842916.7021	-4.76084661251978	0.656511066534696	10.6938108156959
209	g_Escherichia_Shigella	0	0-0	-123.011042001274	0.00068498473796252	35.8352132366188
210	sexmale	128067.7707	0-3981479664194096	11.7603148611969	0.340850208077379	12.3265893157358
211	BMI	0.1274	0.0011-14.2602	-2.06030524784055	0.392732312516368	2.40702787123433
212	hypertensionyes	0.0022	0-4408505.3186	-6.11250308723663	0.57623019802085	10.9242598710151
213	g_Blautia	0	0-2.05156985684115e+46	-75.2615772317871	0.418056613788152	92.8056616292988
214	sexmale	18623.2639	0-895798123822606	9.83216682308524	0.433983874268504	12.5492700878565
215	BMI	0.2192	0.0018-26.7886	-1.51796656623418	0.53635805082834	2.45201191713513
216	hypertensionyes	0.0016	0-4891920.4894	-6.42826676901607	0.564304992329569	11.1384501487185
217	g_Clostridium_sensu_stricto_1	4.41480698330973e+36	0-9.77633622220731e+117	84.3780274624962	0.377995644336407	95.5634659246226
218	sexmale	23087.253	0-1106465665629242	10.047035927849	0.423947894856883	12.5474037333583
219	BMI	0.2111	0.0017-25.6817	-1.55537509665441	0.525957700774467	2.44956879281288
220	hypertensionyes	0.001	0-2951034.1463	-6.91555474007329	0.534833780202134	11.1291943699112
221	g_Faecalibacterium	4.60348417489719e+55	0-4.54186667495763e+146	128.168993560788	0.231520074412879	106.898861278458
222	sexmale	176134.7	0-10586584283542934	12.0790043221522	0.340938327795976	12.6629385911519
223	BMI	0.1945	0.0016-23.4961	-1.63735396530955	0.503776876451839	2.4460143915913
224	hypertensionyes	4e-04	0-1179452.0591	-7.88083783402435	0.480407715837482	11.1537746765051
225	g_Prevotella	0	0-1.03095385601302e+22	-60.5133963546704	0.28704460046898	56.735077983693
226	sexmale	48998.2034	0-2439154843091341	10.799538911715	0.390847578266294	12.566780146284
227	BMI	0.2251	0.0018-27.4006	-1.49114286631832	0.543223486934048	2.44985120590658
228	hypertensionyes	0.0011	0-3328721.8902	-6.77935370560247	0.542611662950647	11.12114932507
229	g_Akkermansia	0	0-5.51212723878761e+52	-43.8072140367346	0.603744455446773	84.3105048417499
230	sexmale	21472.2277	0-1050968728865986	9.97451564376763	0.427692106445425	12.5581495351529
231	BMI	0.1767	0.0014-22.0209	-1.73304836706517	0.482006521498268	2.46175523146363
232	hypertensionyes	0.0012	0-3779022.0139	-6.68749521925997	0.548732305484416	11.1390158300463
233	g_Ruminococcaceae_UCG_002	Inf	Inf-Inf	1150.84006180932	1.47697876731376e-10	173.102867430843
234	sexmale	9.3315	0-95008381557.3836	2.23340089442281	0.849471798970856	11.7570561516083
235	BMI	0.5599	0.0063-49.7062	-0.580048257527745	0.800122555051932	2.28886591008224
236	hypertensionyes	0.0026	0-1756607.2299	-5.96270815302479	0.566054587568615	10.3783688517026
237	g_Romboutsia	4.230274012175e+100	0-2.15280551413396e+247	231.700776068657	0.1798837453109	172.349241725856
238	sexmale	24332.8701	0-1116069372987166	10.0995833942116	0.420701933104254	12.5250030739291
239	BMI	0.2408	0.002-29.2288	-1.4237417672467	0.56136029120705	2.44841705915067
240	hypertensionyes	0.0044	0-13609336.0347	-5.43342625435287	0.626502993145808	11.1529045115736
241	g_Subdoligranulum	0	0-7.39369883122571e+76	-42.5734766623865	0.704200221252743	112.025801968424
242	sexmale	16036.1603	0-808702797683994	9.68260147227046	0.441877558720016	12.573393430223
243	BMI	0.1956	0.0016-23.8984	-1.63192360127107	0.506214696762633	2.45190647448863
244	hypertensionyes	0.0011	0-3435073.4154	-6.7854059136356	0.5429450106477	11.1402830458139
245	g_Ruminococcus_2	1.93513799984996e+124	0-2.21111198608506e+255	286.180730172952	0.064081113151782	153.965287801347
246	sexmale	53587.6124	0-2340777676710792	10.8890732086184	0.384412103991671	12.5000951025121
247	BMI	0.2076	0.0017-24.6725	-1.57196401830088	0.519511476953196	2.43757751409254
248	hypertensionyes	0.0011	0-2952947.5228	-6.81264795243837	0.53902200410636	11.0770216031676
249	g_Roseburia	407954784928.167	0-7.41163691705229e+189	26.734422183955	0.898505866154406	209.416944751692
250	sexmale	21487.3421	0-1088926785909794	9.97521930318537	0.428311046593786	12.575892705534
251	BMI	0.1909	0.0015-24.4116	-1.65581246821628	0.504008506766336	2.47493391224131
252	hypertensionyes	0.001	0-3394046.8979	-6.92133449728633	0.537204881529464	11.203504101971
253	g_Phascolarctobacterium	0	0-1.90666856193939e+161	-123.748477768291	0.624586888968096	252.607160842388
254	sexmale	23697.2509	0-1170663206515148	10.0731143247959	0.423318138751847	12.5628737252576
255	BMI	0.1844	0.0015-22.7246	-1.6905315119217	0.491818776879923	2.4561127076743
256	hypertensionyes	0.0013	0-3871371.8601	-6.66626615450354	0.550054360411894	11.1405028788353
257	g_Christensenellaceae_R_7_group	Inf	3.28903522429155e+270-Inf	942.625538671621	1.95073916845103e-08	163.131106778751
258	sexmale	3349.1581	0-45028638262492	8.1164642940001	0.495710320850791	11.8989058750569
259	BMI	0.2143	0.0023-20.2902	-1.54018607870869	0.507592163214229	2.32159466682464
260	hypertensionyes	0	0-38461.6865	-10.1527731062905	0.337429628653709	10.5664239663816
261	g_Parabacteroides	4.80669128258161e+179	0-Inf	413.732740610313	0.207130268727893	327.234734647399
262	sexmale	17022.2196	0-787325990787229	9.74227480406411	0.437464121601419	12.5292799459532
263	BMI	0.1384	0.0011-17.2545	-1.977920363819	0.422461116409308	2.46224146426733
264	hypertensionyes	0.0042	0-13321514.2106	-5.46883186248386	0.624480256824078	11.1600626319256
265	g_Ruminococcus_torques_group	1784.7169	0-2.39590956991279e+196	7.48701509672657	0.973697964590013	226.884401054868
266	sexmale	19461.432	0-1009891438437341	9.87618994210461	0.433346346051939	12.5879741281563
267	BMI	0.1984	0.0016-24.4427	-1.61747831020929	0.510692768676074	2.45602590708449
268	hypertensionyes	0.0012	0-3870957.3738	-6.74274972149433	0.546890738208091	11.1794704792373
269	g_Eubacterium_coprostanoligenes_group	Inf	1.45456010211731e+282-Inf	1129.90882104292	6.00248877267409e-06	245.002612907654
270	sexmale	25909.5621	0-542719352692268	10.1623673726229	0.402653295032409	12.1251255529378
271	BMI	0.7545	0.0071-80.7153	-0.281725744034546	0.906012517361221	2.38400708948665
272	hypertensionyes	0.0032	0-4558396.4344	-5.75043867241806	0.593339793058312	10.7565919045619
273	g_Alistipes	4.52476893272805e+208	0-Inf	480.447265854019	0.116770703454502	305.398340644817
274	sexmale	85597.6102	0-4074570212581101	11.3574126430717	0.366002378051244	12.5439433794205
275	BMI	0.1689	0.0014-20.3181	-1.77841566089479	0.467378046137101	2.44383994739305
276	hypertensionyes	6e-04	0-1766502.7465	-7.37586326620333	0.506990558700917	11.1022324320038
277	g_Ruminococcaceae_UCG_014	5.73507078497435e+289	2.02926367958957e+155-Inf	667.193691968413	3.21955788121489e-05	157.951698748212
278	sexmale	5745.8974	0-138313431695546	8.65624137690666	0.478427423630241	12.196072496415
279	BMI	0.4101	0.0038-44.0286	-0.891270631228117	0.708992384426863	2.38577010546977
280	hypertensionyes	1e-04	0-87174.3841	-9.86877635728234	0.363324164092601	10.8390011037982
281	g_Lachnoclostridium	0	0-0	-1006.86989219237	0.000105765036613684	256.109422276142
282	sexmale	34547.8669	0-908162411550214	10.4501010870584	0.393979776653178	12.240991458583
283	BMI	0.1066	0.001-11.6394	-2.23832474710124	0.350632547218111	2.3942470519712
284	hypertensionyes	0.0025	0-4300209.467	-6.00795797597618	0.580479542942556	10.8582307493418
285	g_Agathobacter	6.87169425792264e+125	0-Inf	289.750547316959	0.245627445427487	249.055254055874
286	sexmale	43106.9422	0-2081971983085412	10.6714393341193	0.395905384693843	12.5513533541644
287	BMI	0.1769	0.0015-21.4768	-1.7319368668231	0.479907794189945	2.44842391122868
