	Characteristics	OR	CI	Beta	P	SE
41	p_Patescibacteria	0.042	0-4596.3871	-3.17091183899588	0.592651826773805	5.92037637714541
42	sexmale	0.9856	0.9615-1.0102	-0.014545793337917	0.249639089341969	0.0126096245162158
43	BMI	1.0038	0.999-1.0087	0.00382854014070521	0.12303350530179	0.00247531965018922
44	hypertensionyes	0.9876	0.9661-1.0095	-0.0125196449876353	0.264032517902492	0.0111873795695938
45	p_Cyanobacteria	2.6509	1e-04-52622.6631	0.974897721839354	0.847025690603629	5.04898185781396
46	sexmale	0.9858	0.9617-1.0105	-0.0143130684440912	0.258689338889478	0.012647154771507
47	BMI	1.004	0.9992-1.0089	0.00400403101874001	0.105802755387523	0.00246793005790238
48	hypertensionyes	0.9872	0.9658-1.0092	-0.0128346677760051	0.253612189262339	0.0112201075849516
49	p_Epsilonbacteraeota	0.0325	0-587320.5049	-3.42790542414237	0.687946870127983	8.52613845862298
50	sexmale	0.9861	0.9619-1.0109	-0.0140122283219545	0.269572484175805	0.0126673263866183
51	BMI	1.0039	0.9991-1.0088	0.00391613585278119	0.113265153813893	0.00246529361238177
52	hypertensionyes	0.9877	0.9662-1.0096	-0.0124225396231459	0.268430726335209	0.0112034108097838
53	c_Clostridia	1.2638	1.1951-1.3365	0.23412209679547	7.71017669530666e-15	0.0285362367075452
54	sexmale	0.9922	0.9703-1.0146	-0.00779140409313053	0.494517127542147	0.0113907799441336
55	BMI	1.004	0.9996-1.0083	0.00394781572265554	0.0760718720370916	0.00221745825372051
56	hypertensionyes	0.9848	0.9655-1.0045	-0.0152983288477201	0.130269003694584	0.0100822037127334
57	c_Bacteroidia	1.1551	1.0883-1.226	0.14420071650596	3.30615864258667e-06	0.0303999894133481
58	sexmale	0.9831	0.9599-1.0068	-0.0170352128880868	0.162417698757101	0.012163122725885
59	BMI	1.0029	0.9982-1.0076	0.00285352777940855	0.232164810083074	0.00238327168469946
60	hypertensionyes	0.987	0.9663-1.008	-0.0131137831171027	0.224704817704718	0.0107780105315893
61	c_Gammaproteobacteria	0.6841	0.6518-0.7181	-0.379634197504015	2.408227027e-39	0.0247129748237761
62	sexmale	0.9859	0.968-1.0042	-0.014164320222136	0.131303782724089	0.009360072154533
63	BMI	1.0035	0.9999-1.0071	0.0034502954918464	0.059979595150163	0.00182714241567763
64	hypertensionyes	0.9867	0.9708-1.0029	-0.0133966511648956	0.107693994447006	0.00830206342740592
65	c_Negativicutes	1.1821	0.8989-1.5547	0.167328286466533	0.232199505538148	0.139763305107287
66	sexmale	0.9856	0.9616-1.0102	-0.0145095465145889	0.249866777691269	0.0125842658472235
67	BMI	1.0038	0.999-1.0087	0.00381812498348648	0.121650117422335	0.00245942660686163
68	hypertensionyes	0.9883	0.9669-1.0102	-0.011763448528582	0.293913277271263	0.0111874382828009
69	c_Verrucomicrobiae	0.7566	0.6429-0.8904	-0.278933150797403	0.000892970971773312	0.0830859069739455
70	sexmale	0.9861	0.9624-1.0103	-0.0140397961035276	0.257594191732263	0.0123771198046268
71	BMI	1.0032	0.9985-1.008	0.00320504906277673	0.187557621060378	0.00242629155292584
72	hypertensionyes	0.988	0.9669-1.0095	-0.0121093950596561	0.270943680923828	0.0109785737978358
73	c_Erysipelotrichia	1.7557	0.9649-3.1947	0.562873352353369	0.0663541337097015	0.30541277249421
74	sexmale	0.985	0.9611-1.0096	-0.0150767361578633	0.230457159302524	0.0125459995459795
75	BMI	1.004	0.9992-1.0088	0.00401152425311992	0.102357237461792	0.00244794400818292
76	hypertensionyes	0.9878	0.9665-1.0096	-0.0122631563383073	0.271302887351471	0.0111263303555342
77	c_Coriobacteriia	1.1664	0.6723-2.0236	0.153928994561394	0.58439487833905	0.281101723518291
78	sexmale	0.9857	0.9617-1.0104	-0.0143658568201627	0.255577454452029	0.0126108596457739
79	BMI	1.004	0.9991-1.0088	0.00395126468113272	0.109490024890611	0.00246117869497914
80	hypertensionyes	0.9874	0.966-1.0093	-0.0126424622129687	0.259226568360637	0.0111836276941871
81	c_Deltaproteobacteria	4.5831	1.5702-13.3774	1.52238330650793	0.00569621953009567	0.546520450282089
82	sexmale	0.9828	0.959-1.0072	-0.0173406363985914	0.166144892895762	0.0124914417747954
83	BMI	1.0039	0.9991-1.0086	0.00384714149530873	0.114501409597936	0.00243019266538888
84	hypertensionyes	0.9867	0.9656-1.0083	-0.013404569598263	0.225886087553773	0.011045167910601
85	c_Synergistia	0.7756	0.4864-1.2369	-0.254084089754472	0.286821759008263	0.238109321513132
86	sexmale	0.9861	0.962-1.0107	-0.0140462914924952	0.265772149064017	0.0125974491407878
87	BMI	1.0041	0.9992-1.0089	0.00405295280353944	0.100333852552923	0.00245854911613971
88	hypertensionyes	0.9868	0.9654-1.0087	-0.0132937252747142	0.235494850054352	0.0111824878295411
89	o_Clostridiales	1.2638	1.195-1.3365	0.234114409653425	7.80694461787312e-15	0.0285417283713082
90	sexmale	0.9922	0.9703-1.0146	-0.0077859979929053	0.494836958608626	0.0113913225422245
91	BMI	1.004	0.9996-1.0083	0.0039454881787217	0.0762565911345032	0.00221755298380654
92	hypertensionyes	0.9848	0.9656-1.0045	-0.0152921000995218	0.130440379377883	0.0100826104628319
93	o_Bacteroidales	1.1546	1.0879-1.2254	0.143747864446863	3.46338331453229e-06	0.030369506979955
94	sexmale	0.983	0.9598-1.0067	-0.0171417773900985	0.159915259537795	0.0121660650612244
95	BMI	1.0028	0.9982-1.0075	0.00283947763931965	0.234605354818743	0.00238398199660046
96	hypertensionyes	0.9869	0.9663-1.008	-0.0131718124813852	0.222741595910782	0.0107797896915798
97	o_Enterobacteriales	0.6678	0.6355-0.7017	-0.403794779597247	1.1401415e-41	0.0252512497513057
98	sexmale	0.9896	0.9719-1.0076	-0.0104773217296066	0.255320234631025	0.00919237803068648
99	BMI	1.0029	0.9994-1.0064	0.00290411407447963	0.106714002969348	0.00179467595377961
100	hypertensionyes	0.9912	0.9754-1.0071	-0.00888045156153879	0.276998957813674	0.00815362694002006
101	o_Selenomonadales	1.1821	0.8989-1.5547	0.167328286466533	0.232199505538148	0.139763305107287
102	sexmale	0.9856	0.9616-1.0102	-0.0145095465145889	0.249866777691269	0.0125842658472235
103	BMI	1.0038	0.999-1.0087	0.00381812498348648	0.121650117422335	0.00245942660686163
104	hypertensionyes	0.9883	0.9669-1.0102	-0.011763448528582	0.293913277271263	0.0111874382828009
105	o_Verrucomicrobiales	0.756	0.6424-0.8897	-0.279679423132135	0.000866036708401711	0.0830905975415645
106	sexmale	0.9861	0.9624-1.0103	-0.0140270002233879	0.257981931302288	0.0123759396313739
107	BMI	1.0032	0.9984-1.008	0.00320362194928314	0.187707722562993	0.00242603871436291
108	hypertensionyes	0.9879	0.9669-1.0094	-0.0121288648211251	0.270124494721354	0.0109774003405817
109	o_Erysipelotrichales	1.7557	0.9649-3.1947	0.562873352353369	0.0663541337097015	0.30541277249421
110	sexmale	0.985	0.9611-1.0096	-0.0150767361578633	0.230457159302524	0.0125459995459795
111	BMI	1.004	0.9992-1.0088	0.00401152425311992	0.102357237461792	0.00244794400818292
112	hypertensionyes	0.9878	0.9665-1.0096	-0.0122631563383073	0.271302887351471	0.0111263303555342
113	o_Coriobacteriales	1.1664	0.6723-2.0236	0.153928994561394	0.58439487833905	0.281101723518291
114	sexmale	0.9857	0.9617-1.0104	-0.0143658568201627	0.255577454452029	0.0126108596457739
115	BMI	1.004	0.9991-1.0088	0.00395126468113272	0.109490024890611	0.00246117869497914
116	hypertensionyes	0.9874	0.966-1.0093	-0.0126424622129687	0.259226568360637	0.0111836276941871
117	o_Desulfovibrionales	4.4387	1.5113-13.0369	1.49036294902569	0.00710504541573223	0.549703735330914
118	sexmale	0.9828	0.959-1.0072	-0.0173797975270458	0.165602042279386	0.0125035544397134
119	BMI	1.0038	0.9991-1.0086	0.003835564460857	0.115857261879477	0.00243197460264116
120	hypertensionyes	0.9866	0.9654-1.0082	-0.0135053087556216	0.222791769654007	0.0110539243473949
121	o_Synergistales	0.7756	0.4864-1.2369	-0.254084089754472	0.286821759008263	0.238109321513132
122	sexmale	0.9861	0.962-1.0107	-0.0140462914924952	0.265772149064017	0.0125974491407878
123	BMI	1.0041	0.9992-1.0089	0.00405295280353944	0.100333852552923	0.00245854911613971
124	hypertensionyes	0.9868	0.9654-1.0087	-0.0132937252747142	0.235494850054352	0.0111824878295411
125	o_Betaproteobacteriales	0.9643	0.6062-1.5339	-0.0363923200654617	0.877979590572491	0.236825940679692
126	sexmale	0.9855	0.9615-1.0102	-0.014563109181488	0.249627805121402	0.012624333914179
127	BMI	1.004	0.9991-1.0088	0.00395436466957315	0.109688737394933	0.00246449514029213
128	hypertensionyes	0.9873	0.9658-1.0092	-0.0127802630474804	0.255234254173821	0.0112108525133922
129	o_Pseudomonadales	0.8584	0.6468-1.1393	-0.152642137782831	0.291354824722264	0.144398881087398
130	sexmale	0.9848	0.9608-1.0095	-0.0153007549798969	0.226141273417274	0.0126145473997201
131	BMI	1.0043	0.9994-1.0091	0.0042436699447219	0.0869707194689085	0.00247093284496957
132	hypertensionyes	0.986	0.9645-1.008	-0.0140751313395564	0.211751305192372	0.0112462917213974
133	f_Lachnospiraceae	1.3535	1.2374-1.4804	0.302666096736982	1.75000809835903e-10	0.0457236602437401
134	sexmale	0.9905	0.9679-1.0136	-0.00958858232360457	0.416290366940852	0.0117789586125733
135	BMI	1.0022	0.9977-1.0068	0.00222629018234151	0.335862686332133	0.00230948149081915
136	hypertensionyes	0.9853	0.9654-1.0057	-0.0147711766598755	0.157850017835304	0.0104315633473333
137	f_Ruminococcaceae	1.1618	1.0592-1.2743	0.149953867275269	0.00164044569325	0.0471760428534714
138	sexmale	0.988	0.9642-1.0123	-0.0120773350649424	0.331803226476577	0.01242369391797
139	BMI	1.0046	0.9998-1.0094	0.00457560948549144	0.0604674849011926	0.00242770638768738
140	hypertensionyes	0.9862	0.9652-1.0077	-0.0138535631860116	0.209101590067501	0.0110049640214272
141	f_Bacteroidaceae	1.0611	0.9816-1.1469	0.0592669664892176	0.136689546072745	0.0397129694896177
142	sexmale	0.9859	0.9619-1.0105	-0.0141873697381575	0.259924559125661	0.0125687057501581
143	BMI	1.0036	0.9988-1.0085	0.00362606711050391	0.142152008888603	0.00246362750700977
144	hypertensionyes	0.9868	0.9655-1.0086	-0.0132957833499037	0.234242110103425	0.0111542518996043
145	f_Enterobacteriaceae	0.6678	0.6355-0.7017	-0.403791642611425	1.1402762e-41	0.0252510754899741
146	sexmale	0.9896	0.9719-1.0076	-0.0104769367432828	0.255337886034954	0.00919238243505699
147	BMI	1.0029	0.9994-1.0064	0.00290413698818462	0.106711382794489	0.00179467663266633
148	hypertensionyes	0.9912	0.9754-1.0071	-0.00888024351145221	0.277010407051155	0.00815363064275982
149	f_Prevotellaceae	1.1886	1.0728-1.317	0.1727761311373	0.00107974442109669	0.0523210670377331
150	sexmale	0.9827	0.9591-1.0069	-0.0174423676832638	0.161153088409086	0.0124162170581838
151	BMI	1.0036	0.9989-1.0084	0.00360597224414992	0.137221392179365	0.00241953846813111
152	hypertensionyes	0.9874	0.9664-1.0089	-0.0126381197608518	0.250850237088762	0.0109839913868393
153	f_Clostridiaceae_1	1.0949	0.9178-1.3061	0.0906479945207949	0.314747303870162	0.090012308014395
154	sexmale	0.9859	0.9619-1.0105	-0.0142016683231095	0.260498165265532	0.012596556886809
155	BMI	1.0041	0.9992-1.0089	0.00406208178818801	0.0997099966906414	0.0024595394543869
156	hypertensionyes	0.9872	0.9658-1.009	-0.0129049092900742	0.24900302754274	0.0111721001019005
157	f_Peptostreptococcaceae	1.382	1.1196-1.7061	0.323563896281693	0.00283538748300881	0.107466430888627
158	sexmale	0.9841	0.9604-1.0084	-0.0160201386881809	0.19857911024548	0.0124325188355485
159	BMI	1.0041	0.9993-1.0089	0.00407228854739416	0.0941336881205431	0.00242469071826609
160	hypertensionyes	0.9902	0.969-1.0119	-0.00985694865768924	0.373439330625337	0.0110574391012199
161	f_Akkermansiaceae	0.756	0.6424-0.8898	-0.279664312500053	0.000866178855649564	0.0830872700702146
162	sexmale	0.9861	0.9624-1.0103	-0.0140266696729515	0.25799341705396	0.0123759472674002
163	BMI	1.0032	0.9984-1.008	0.00320368958099621	0.187698375057923	0.00242603839399731
164	hypertensionyes	0.9879	0.9669-1.0094	-0.0121295135064914	0.270099060438188	0.010977403329806
165	f_Acidaminococcaceae	2.3014	1.4139-3.7459	0.83351868882874	0.000904116239858653	0.248544481047985
166	sexmale	0.9842	0.9606-1.0084	-0.0159327616660569	0.199291243101564	0.0123843863383088
167	BMI	1.0045	0.9998-1.0093	0.004517408529751	0.0630775945478991	0.00242112064700628
168	hypertensionyes	0.9867	0.9657-1.0082	-0.0133639848777719	0.224537263122336	0.0109796675907391
169	f_Christensenellaceae	1.0587	0.7545-1.4856	0.0570555306358458	0.741541977727668	0.172828201374009
170	sexmale	0.9855	0.9614-1.0102	-0.0145984990369522	0.248225060470063	0.0126174718636667
171	BMI	1.004	0.9992-1.0088	0.00397658149493752	0.107330941702567	0.00246178038138653
172	hypertensionyes	0.9872	0.9658-1.0091	-0.0128741742696699	0.251472239750185	0.0112038768701132
173	f_Erysipelotrichaceae	1.7557	0.9649-3.1946	0.562866310514243	0.0663541552301353	0.305408975968335
174	sexmale	0.985	0.9611-1.0096	-0.0150768214685102	0.230454572126296	0.0125460007366369
175	BMI	1.004	0.9992-1.0088	0.00401151553770655	0.10235797420148	0.00244794396809677
176	hypertensionyes	0.9878	0.9665-1.0096	-0.0122631422362687	0.271303444355225	0.0111263305188815
177	f_Rikenellaceae	3.5334	2.1329-5.8533	1.26225030012909	1.58855650385836e-06	0.25752844483947
178	sexmale	0.9854	0.9623-1.0091	-0.0147210605870684	0.225573641642968	0.0121217518850155
179	BMI	1.0039	0.9992-1.0085	0.00387108715514052	0.102887189660047	0.00236590736339135
180	hypertensionyes	0.9886	0.968-1.0097	-0.0114317792224925	0.288672418582553	0.0107543288997197
181	f_Tannerellaceae	2.8678	1.5203-5.4097	1.05353617162156	0.00127476954451677	0.323806590117676
182	sexmale	0.9852	0.9616-1.0095	-0.014875973244321	0.230914241314421	0.0123911069038327
183	BMI	1.0031	0.9983-1.0079	0.00305099025018771	0.211186246342849	0.00243477557867843
184	hypertensionyes	0.9907	0.9695-1.0124	-0.00932448131192023	0.398938152405606	0.0110378958356535
185	f_Desulfovibrionaceae	4.4385	1.5112-13.036	1.4903225888718	0.00710531684354211	0.549691483495864
186	sexmale	0.9828	0.959-1.0072	-0.0173798408750039	0.16560110101291	0.0125035577151877
187	BMI	1.0038	0.9991-1.0086	0.00383554334795301	0.115859327094196	0.0024319750566419
188	hypertensionyes	0.9866	0.9654-1.0082	-0.0135052708831083	0.222793104017888	0.0110539253131577
189	f_Coriobacteriaceae	1.2432	0.6508-2.3748	0.217687776805474	0.510270373967606	0.330213150781197
190	sexmale	0.986	0.9619-1.0107	-0.0140963505143198	0.264926589472554	0.0126199493085372
191	BMI	1.0039	0.999-1.0087	0.00387439460281608	0.117056650179313	0.00246470851744141
192	hypertensionyes	0.9874	0.966-1.0093	-0.012653301409028	0.258704583278681	0.0111809285433873
193	f_Synergistaceae	0.7756	0.4864-1.2369	-0.254082309039362	0.286823481646856	0.238108505525822
194	sexmale	0.9861	0.962-1.0107	-0.0140462773532132	0.265772654261743	0.0125974498019575
195	BMI	1.0041	0.9992-1.0089	0.00405295429508587	0.100333739994592	0.0024585492028457
196	hypertensionyes	0.9868	0.9654-1.0087	-0.0132937141551264	0.235495229241193	0.0111824875522672
197	f_Burkholderiaceae	0.9648	0.6063-1.5353	-0.0357996125421812	0.880044329453367	0.237010376637666
198	sexmale	0.9855	0.9615-1.0102	-0.0145618696990576	0.249669036270577	0.0126243612340478
199	BMI	1.004	0.9991-1.0088	0.00395491594656417	0.109628883172709	0.00246442137233204
200	hypertensionyes	0.9873	0.9658-1.0092	-0.0127780224849973	0.255311031563721	0.0112107021736626
201	f_Marinifilaceae	7.2126	2.4661-21.0952	1.97583572486632	0.000362878190172444	0.547556094274955
202	sexmale	0.9882	0.9645-1.0124	-0.0118883696626783	0.336991292175137	0.0123614952606505
203	BMI	1.0037	0.999-1.0085	0.00370908390901973	0.124830011517769	0.00240962198525488
204	hypertensionyes	0.9875	0.9665-1.0089	-0.0126187132795839	0.249915024575965	0.0109454460502628
205	g_Bacteroides	1.0611	0.9816-1.1469	0.0592669664892176	0.136689546072745	0.0397129694896177
206	sexmale	0.9859	0.9619-1.0105	-0.0141873697381575	0.259924559125661	0.0125687057501581
207	BMI	1.0036	0.9988-1.0085	0.00362606711050391	0.142152008888603	0.00246362750700977
208	hypertensionyes	0.9868	0.9655-1.0086	-0.0132957833499037	0.234242110103425	0.0111542518996043
209	g_Escherichia_Shigella	0.6407	0.6092-0.6739	-0.445158721839403	1.59e-46	0.0257283857003899
210	sexmale	0.9923	0.9752-1.0096	-0.00776401076142811	0.381060595933926	0.00885004484810704
211	BMI	1.0024	0.999-1.0058	0.00235178766371113	0.174617215619944	0.00172815886580025
212	hypertensionyes	0.9898	0.9747-1.0051	-0.0102838255045538	0.190839998079694	0.00784322307772841
213	g_Blautia	1.2398	1.0343-1.486	0.214917812803507	0.0207628946017761	0.0924365718189865
214	sexmale	0.9858	0.962-1.0103	-0.0142880821800229	0.253941054720533	0.0124993614116511
215	BMI	1.0037	0.9989-1.0085	0.00370017835634368	0.130849353669857	0.0024422602209833
216	hypertensionyes	0.9864	0.9652-1.0081	-0.0136554266965769	0.21937338944555	0.0110941523291632
217	g_Clostridium_sensu_stricto_1	1.0915	0.9043-1.3173	0.0875260694666087	0.362429497883921	0.0959516786754758
218	sexmale	0.9858	0.9617-1.0104	-0.0143379402997973	0.256030306133958	0.0125983757452277
219	BMI	1.004	0.9992-1.0089	0.00403070767964849	0.102339115221558	0.00245951981154437
220	hypertensionyes	0.9873	0.9659-1.0091	-0.0128207177537426	0.252194641172994	0.0111744051114778
221	g_Faecalibacterium	1.4104	1.1465-1.7351	0.343882816331578	0.00127450329777536	0.105691118133309
222	sexmale	0.9914	0.9674-1.016	-0.00864776863243664	0.490293789186056	0.0125198727334057
223	BMI	1.0039	0.9992-1.0087	0.00390532632912297	0.107433798556487	0.00241837932533288
224	hypertensionyes	0.9845	0.9634-1.006	-0.0156459987711342	0.157039790204693	0.0110277593499902
225	g_Prevotella	1.1964	1.0718-1.3354	0.179277443199998	0.00154958485216504	0.056100143890235
226	sexmale	0.983	0.9593-1.0072	-0.0171465296950144	0.168691570028738	0.0124261426880582
227	BMI	1.0036	0.9989-1.0084	0.00361055919769174	0.13719201149637	0.00242243440998755
228	hypertensionyes	0.9874	0.9664-1.0089	-0.0126521284155745	0.250872753707557	0.0109966902229436
229	g_Akkermansia	0.756	0.6424-0.8898	-0.279664312500053	0.000866178855649564	0.0830872700702146
230	sexmale	0.9861	0.9624-1.0103	-0.0140266696729515	0.25799341705396	0.0123759472674002
231	BMI	1.0032	0.9984-1.008	0.00320368958099621	0.187698375057923	0.00242603839399731
232	hypertensionyes	0.9879	0.9669-1.0094	-0.0121295135064914	0.270099060438188	0.010977403329806
233	g_Ruminococcaceae_UCG_002	1.6624	1.1585-2.3854	0.508259468830692	0.00617126682652643	0.184231142190082
234	sexmale	0.9823	0.9585-1.0067	-0.0178750278794993	0.154219231874043	0.0125128827485719
235	BMI	1.0044	0.9997-1.0092	0.00442722336703302	0.0701902384090421	0.00243601037459913
236	hypertensionyes	0.9878	0.9666-1.0094	-0.0123147036095899	0.265819360477048	0.0110455636928315
237	g_Romboutsia	1.5484	1.106-2.1679	0.437229959166522	0.0113955891709231	0.171689643990466
238	sexmale	0.986	0.9622-1.0104	-0.0141157324372673	0.258852433025886	0.0124770686381255
239	BMI	1.0043	0.9995-1.0092	0.00432793558500314	0.0770435524141782	0.00243904672290008
240	hypertensionyes	0.9899	0.9686-1.0117	-0.0101454096016367	0.361919553508577	0.0111102212337988
241	g_Subdoligranulum	0.7943	0.6381-0.9887	-0.230255068906164	0.0401637560376839	0.111701006387355
242	sexmale	0.9844	0.9606-1.0089	-0.0156759837532651	0.212170905587939	0.0125369394834231
243	BMI	1.0039	0.9991-1.0087	0.00386788545414522	0.114723180029531	0.00244479768013845
244	hypertensionyes	0.9873	0.9661-1.0091	-0.0127420089521243	0.252287559386836	0.0111079841053774
245	g_Ruminococcus_2	0.948	0.699-1.2858	-0.0533762583753003	0.731646443175336	0.155494430044495
246	sexmale	0.9854	0.9614-1.0101	-0.0146722093502602	0.246102996880853	0.0126242427187546
247	BMI	1.004	0.9991-1.0088	0.00396347532290494	0.108489686676881	0.00246178688492524
248	hypertensionyes	0.9874	0.966-1.0093	-0.0126648705958812	0.258529805511235	0.0111870356323267
249	g_Roseburia	2.046	1.3663-3.064	0.71589801650452	0.000589888430390534	0.206033016020678
250	sexmale	0.9875	0.9639-1.0118	-0.0125335874338334	0.311905138191894	0.0123726812381197
251	BMI	1.0028	0.998-1.0076	0.00282036840183727	0.247702067087281	0.00243494192409095
252	hypertensionyes	0.9835	0.9625-1.005	-0.0166571449366107	0.131830367486372	0.0110224688019687
253	g_Phascolarctobacterium	2.2551	1.3837-3.6753	0.813188391816424	0.00123454074447034	0.249212363712642
254	sexmale	0.9845	0.9609-1.0087	-0.0156110938920659	0.208842776378914	0.0123940407930413
255	BMI	1.0045	0.9997-1.0093	0.00448163537855387	0.0654004178089868	0.00242310491667368
256	hypertensionyes	0.9867	0.9657-1.0082	-0.0133706246734952	0.224775532805845	0.0109907852418891
257	g_Christensenellaceae_R_7_group	1.059	0.7545-1.4865	0.0573707140013448	0.740385389249811	0.172979810665629
258	sexmale	0.9855	0.9614-1.0102	-0.0145968369039772	0.248271536763235	0.0126172777592139
259	BMI	1.004	0.9992-1.0088	0.00397552103813976	0.107420812442073	0.00246175615331489
260	hypertensionyes	0.9872	0.9658-1.0091	-0.0128780845140127	0.251348578100899	0.0112043500054002
261	g_Parabacteroides	2.8621	1.5177-5.3973	1.05155370647951	0.00129430569497529	0.323643258867614
262	sexmale	0.9852	0.9616-1.0094	-0.0148946924167315	0.230354168189347	0.0123917682434975
263	BMI	1.003	0.9983-1.0078	0.00304320079262948	0.212433874113497	0.00243521780312566
264	hypertensionyes	0.9907	0.9695-1.0124	-0.00935884915394709	0.397190991527141	0.011037578401495
265	g_Ruminococcus_torques_group	1.447	0.9277-2.257	0.36951017197867	0.10433468783085	0.226787915153592
266	sexmale	0.9844	0.9604-1.0089	-0.0157732337975943	0.21101039718127	0.0125826209085285
267	BMI	1.0037	0.9989-1.0086	0.00374216750118961	0.128523315970301	0.00245498144623968
268	hypertensionyes	0.9889	0.9674-1.0108	-0.0112027485403814	0.316936679871266	0.011174716246333
269	g_Eubacterium_coprostanoligenes_group	1.9329	1.1796-3.1671	0.658996393534084	0.00937467282837492	0.25194769057273
270	sexmale	0.9858	0.962-1.0102	-0.014336429689376	0.251184693746449	0.0124688359226542
271	BMI	1.0048	0.9999-1.0096	0.0047474443487372	0.053783860796453	0.00245158642749485
272	hypertensionyes	0.988	0.9668-1.0097	-0.0120762414802479	0.275858679509807	0.0110615085146426
273	g_Alistipes	3.2998	1.8333-5.9393	1.19385716807905	8.67557286906011e-05	0.299863372714982
274	sexmale	0.9892	0.9656-1.0134	-0.0108721818581787	0.378118029284364	0.0123165998903493
275	BMI	1.0036	0.9989-1.0083	0.00355966158382288	0.139038916171783	0.00239954836510773
276	hypertensionyes	0.9859	0.9651-1.0072	-0.0141715764717501	0.194628896602679	0.0109010181741563
277	g_Ruminococcaceae_UCG_014	1.0642	0.7725-1.4658	0.0621805109209861	0.703804909185616	0.163389573035601
278	sexmale	0.9855	0.9614-1.0102	-0.0146042728815631	0.247981620038404	0.0126159521783747
