	Characteristics	OR	CI	Beta	P	SE
25	p_Fusobacteria	0.1961	0.015-2.5602	-1.62938057898053	0.21491397809669	1.31095596757586
26	sexmale	0.9444	0.7431-1.2003	-0.0571551948935629	0.640655882045234	0.122316199267075
27	BMI	1.0241	0.9773-1.0731	0.0238070419538608	0.319080099767531	0.023853066273789
28	hypertensionyes	0.8898	0.7181-1.1025	-0.116779268833172	0.286584266229498	0.109383101690515
29	p_Euryarchaeota	12561.2083	0.0133-11839444186.2571	9.43836864015639	0.179751661728611	7.01853769459985
30	sexmale	0.949	0.747-1.2058	-0.0523027802951908	0.668832125037932	0.122148688576343
31	BMI	1.0261	0.9792-1.0752	0.0257696248609434	0.281079233080024	0.0238625817637502
32	hypertensionyes	0.8644	0.6987-1.0695	-0.145680308302441	0.180898670731854	0.10861689748435
33	p_Tenericutes	5819934873945160704	445.5477-7.60224811595068e+34	43.2078207455298	0.0232070342438429	18.9329165431372
34	sexmale	0.94	0.7407-1.1928	-0.0618806277642102	0.611034373766774	0.121536707434704
35	BMI	1.0241	0.9777-1.0728	0.0238559947946959	0.315004568921223	0.0237013187726137
36	hypertensionyes	0.856	0.6926-1.058	-0.15545153640279	0.151403890272881	0.108072872561814
37	p_Lentisphaerae	3.33745765767508e+25	5721290.229-1.94687267573847e+44	58.7698366616581	0.00811314122941934	22.0459855914442
38	sexmale	0.9234	0.7277-1.1718	-0.0797051255293687	0.512480810938534	0.121540575487364
39	BMI	1.024	0.9777-1.0725	0.0237033960603925	0.316556629699965	0.0236254905686966
40	hypertensionyes	0.8727	0.7071-1.0771	-0.136112519340894	0.205885712193844	0.107360208348617
41	p_Patescibacteria	132114316978.477	0-1.18253959315638e+60	25.6069334224542	0.656454082628989	57.5080798370391
42	sexmale	0.9513	0.7482-1.2094	-0.0499531723463169	0.683698930765293	0.122484660974083
43	BMI	1.0258	0.9786-1.0753	0.0254809426378515	0.290141879911668	0.0240442281025906
44	hypertensionyes	0.8725	0.7051-1.0796	-0.136361598625258	0.210555052686628	0.108669563634342
45	p_Cyanobacteria	287954687.7575	0-1.55267807143619e+50	19.4783136915467	0.69143513322321	49.0259807072456
46	sexmale	0.9542	0.75-1.2138	-0.0469205568038016	0.702687041437176	0.122804791795768
47	BMI	1.0253	0.9783-1.0746	0.0249876708702384	0.297946397969815	0.0239637801863561
48	hypertensionyes	0.8708	0.7033-1.0781	-0.138371400204183	0.205082166330229	0.108948059922565
49	p_Epsilonbacteraeota	0	0-3.3669957164472e+48	-50.5039328699443	0.54225933246989	82.7765501028674
50	sexmale	0.9575	0.7524-1.2185	-0.0434068257060822	0.724380209926804	0.122981532894392
51	BMI	1.0238	0.9769-1.073	0.0235199130123202	0.326586895602377	0.0239344576931204
52	hypertensionyes	0.8768	0.7085-1.0852	-0.131447833936523	0.227841193848563	0.108769016679662
53	c_Clostridia	14.7436	8.7894-24.7312	2.69080779394377	4.70245472385115e-21	0.263907117650496
54	sexmale	1.0269	0.8353-1.2624	0.0265482522701737	0.801207844792101	0.105343529830356
55	BMI	1.0244	0.984-1.0664	0.0240620962480915	0.241625898989346	0.0205073648024145
56	hypertensionyes	0.8476	0.7061-1.0176	-0.165309198010053	0.0772965887121514	0.0932416333892085
57	c_Bacteroidia	1.6672	0.9169-3.0315	0.51116261303967	0.0948817748374525	0.305047284564936
58	sexmale	0.9423	0.7418-1.1969	-0.0594474962762989	0.626575268465296	0.122050291166619
59	BMI	1.0206	0.9738-1.0696	0.0203681305426527	0.395088813360647	0.023914829242633
60	hypertensionyes	0.8722	0.7056-1.0782	-0.136693167101173	0.207282585003223	0.108151447060373
61	c_Gammaproteobacteria	0.0376	0.0226-0.0625	-3.28115046973855	1.89787740643833e-29	0.259603135522255
62	sexmale	0.9535	0.7864-1.1562	-0.047619829633222	0.628532465304054	0.0983250336051625
63	BMI	1.02	0.9824-1.0591	0.0198284291491422	0.302433464326958	0.0191936383028752
64	hypertensionyes	0.8682	0.7317-1.03	-0.141388438244565	0.106060154977678	0.0872109372678874
65	c_Negativicutes	0.9043	0.0628-13.0192	-0.100634727616751	0.94109682276188	1.36074396085321
66	sexmale	0.9508	0.7479-1.2089	-0.0504058031523862	0.681080625614401	0.122521170633706
67	BMI	1.0247	0.9777-1.074	0.0244216987009115	0.308627615288917	0.023945125652829
68	hypertensionyes	0.8731	0.7053-1.0809	-0.135675022836506	0.21391240133521	0.108921573291741
69	c_Verrucomicrobiae	0.1103	0.0225-0.5421	-2.20429810356251	0.00704996756984977	0.812238015321533
70	sexmale	0.9542	0.7527-1.2096	-0.0468755039068795	0.698738132315819	0.120997261649433
71	BMI	1.0184	0.9722-1.0669	0.0182759067612003	0.441625035086686	0.023719139711117
72	hypertensionyes	0.8775	0.711-1.0829	-0.130679549526042	0.224368053451624	0.107325241035299
73	c_Erysipelotrichia	2554.3927	7.9101-824887.2539	7.84556977056213	0.00821175162431114	2.94766950178624
74	sexmale	0.9431	0.7438-1.1957	-0.058622629684392	0.628655186847497	0.121086816144236
75	BMI	1.0252	0.9788-1.0738	0.0248931593170756	0.292933754414633	0.0236261562870228
76	hypertensionyes	0.8786	0.7118-1.0844	-0.129424820584537	0.229096076863519	0.10738498062136
77	c_Coriobacteriia	11.7994	0.0562-2475.572	2.46804745939264	0.366310155121177	2.72764249001117
78	sexmale	0.9527	0.7495-1.2109	-0.0484578536306554	0.692396985004601	0.122368216654288
79	BMI	1.0243	0.9775-1.0734	0.0240116775081437	0.315526933366682	0.0238818015767111
80	hypertensionyes	0.874	0.7066-1.0812	-0.134649118264568	0.215691116262406	0.10851921400313
81	c_Deltaproteobacteria	1557474608.5991	54749.8283-44305657758896.2	21.1663315058279	6.71609744785816e-05	5.23255203757383
82	sexmale	0.9139	0.7229-1.1553	-0.0900779746529232	0.451954739627086	0.119596840479077
83	BMI	1.0229	0.9773-1.0706	0.0226062618315493	0.332069390792407	0.0232673993743767
84	hypertensionyes	0.8648	0.7029-1.0639	-0.145308692321162	0.170481460175863	0.105749777206195
85	c_Synergistia	1.6943	0.0181-158.9101	0.527244456130998	0.820144472615764	2.31688472741906
86	sexmale	0.95	0.7471-1.2079	-0.0513355633689821	0.675672666323028	0.122577467077954
87	BMI	1.0245	0.9775-1.0736	0.0241598440682599	0.313378153655149	0.0239225195494062
88	hypertensionyes	0.8747	0.7067-1.0827	-0.13383899338808	0.219685678756985	0.108809412005252
89	o_Clostridiales	14.7375	8.7846-24.7243	2.69039383237208	4.8546830838513e-21	0.263975503334608
90	sexmale	1.027	0.8354-1.2625	0.0266010640501756	0.800843029605492	0.105355571414989
91	BMI	1.0243	0.984-1.0663	0.024035380983126	0.242199048172208	0.0205096081588371
92	hypertensionyes	0.8477	0.7061-1.0177	-0.165233966270154	0.0774622437606899	0.0932516117183846
93	o_Bacteroidales	1.6442	0.9048-2.9881	0.497279131393384	0.103842062198657	0.30477041155019
94	sexmale	0.9421	0.7416-1.1969	-0.059598586739937	0.62581576107776	0.122091433953902
95	BMI	1.0206	0.9739-1.0696	0.0204149829716876	0.394189573470184	0.0239242334329539
96	hypertensionyes	0.8721	0.7055-1.0781	-0.136856208324358	0.206860533581866	0.108179594186226
97	o_Enterobacteriales	0.0272	0.0163-0.0454	-3.60446729839493	1.47967151341978e-33	0.261543853923361
98	sexmale	0.9855	0.8177-1.1877	-0.0146160754603752	0.878101961059724	0.0952115242035443
99	BMI	1.0149	0.9786-1.0526	0.0148052725904192	0.426413434584096	0.0185886429431412
100	hypertensionyes	0.9037	0.7658-1.0664	-0.101280037923759	0.231411308073062	0.0844524938111597
101	o_Selenomonadales	0.9043	0.0628-13.0192	-0.100634727616751	0.94109682276188	1.36074396085321
102	sexmale	0.9508	0.7479-1.2089	-0.0504058031523862	0.681080625614401	0.122521170633706
103	BMI	1.0247	0.9777-1.074	0.0244216987009115	0.308627615288917	0.023945125652829
104	hypertensionyes	0.8731	0.7053-1.0809	-0.135675022836506	0.21391240133521	0.108921573291741
105	o_Verrucomicrobiales	0.1087	0.0221-0.534	-2.21924887516736	0.00667659000540034	0.812226160404125
106	sexmale	0.9543	0.7529-1.2097	-0.0467594556144597	0.69939983669282	0.120977128888208
107	BMI	1.0184	0.9722-1.0669	0.0182397854632831	0.442447244843224	0.0237149830216716
108	hypertensionyes	0.8774	0.711-1.0828	-0.130815818492081	0.223804232631246	0.107306145263782
109	o_Erysipelotrichales	2554.3927	7.9101-824887.2539	7.84556977056213	0.00821175162431114	2.94766950178624
110	sexmale	0.9431	0.7438-1.1957	-0.058622629684392	0.628655186847497	0.121086816144236
111	BMI	1.0252	0.9788-1.0738	0.0248931593170756	0.292933754414633	0.0236261562870228
112	hypertensionyes	0.8786	0.7118-1.0844	-0.129424820584537	0.229096076863519	0.10738498062136
113	o_Coriobacteriales	11.7994	0.0562-2475.572	2.46804745939264	0.366310155121177	2.72764249001117
114	sexmale	0.9527	0.7495-1.2109	-0.0484578536306554	0.692396985004601	0.122368216654288
115	BMI	1.0243	0.9775-1.0734	0.0240116775081437	0.315526933366682	0.0238818015767111
116	hypertensionyes	0.874	0.7066-1.0812	-0.134649118264568	0.215691116262406	0.10851921400313
117	o_Desulfovibrionales	1059427650.5446	34862.9426-32194268842506.4	20.7809946469272	9.9801478954627e-05	5.26623210176159
118	sexmale	0.9133	0.7222-1.1549	-0.0907385817424839	0.449362798990345	0.119785650968705
119	BMI	1.0227	0.977-1.0705	0.0224398581745068	0.336282074625148	0.0232986277879082
120	hypertensionyes	0.8635	0.7017-1.0627	-0.146742763855633	0.166907232506532	0.10589800924975
121	o_Synergistales	1.6943	0.0181-158.9101	0.527244456130998	0.820144472615764	2.31688472741906
122	sexmale	0.95	0.7471-1.2079	-0.0513355633689821	0.675672666323028	0.122577467077954
123	BMI	1.0245	0.9775-1.0736	0.0241598440682599	0.313378153655149	0.0239225195494062
124	hypertensionyes	0.8747	0.7067-1.0827	-0.13383899338808	0.219685678756985	0.108809412005252
125	o_Betaproteobacteriales	7.7691	0.0861-700.8476	2.05015667326941	0.372849382729679	2.2970070095592
126	sexmale	0.9549	0.7511-1.2138	-0.0461958848988837	0.706243732019837	0.122445131680508
127	BMI	1.0256	0.9787-1.0748	0.0252724313325953	0.291271220604098	0.0239034735638697
128	hypertensionyes	0.8789	0.7102-1.0877	-0.12904932780043	0.236274153449229	0.108735583325414
129	o_Pseudomonadales	0.3823	0.0244-5.9908	-0.961579139449709	0.493960750252165	1.40398572997673
130	sexmale	0.946	0.7438-1.203	-0.0555377261034133	0.651024146356969	0.122650843316457
131	BMI	1.0264	0.9792-1.0759	0.0260467744443982	0.279196642545496	0.0240248014939144
132	hypertensionyes	0.8659	0.6989-1.0729	-0.143965278002372	0.189020246039701	0.109347336856722
133	f_Lachnospiraceae	10.0938	4.1236-24.7077	2.31191852765938	7.40227537326263e-07	0.456732707600439
134	sexmale	0.9871	0.7838-1.2431	-0.0129932620059632	0.912144383774237	0.117659776823546
135	BMI	1.0111	0.9664-1.0578	0.0110019531356848	0.633788382213581	0.0230693634068664
136	hypertensionyes	0.8597	0.7009-1.0545	-0.151160272242014	0.147957647619069	0.104200673059312
137	f_Ruminococcaceae	13.6157	5.7469-32.2587	2.61122537474684	8.46792482886722e-09	0.440083040492392
138	sexmale	0.9916	0.7901-1.2445	-0.00843787652739823	0.942010574873839	0.115894777579141
139	BMI	1.0355	0.9905-1.0825	0.034856352612818	0.124869004025141	0.0226469272091066
140	hypertensionyes	0.8558	0.6998-1.0466	-0.155697409266408	0.130453173894037	0.102660115900389
141	f_Bacteroidaceae	0.5676	0.2665-1.209	-0.566263493620969	0.143197940794253	0.385744091570634
142	sexmale	0.9481	0.7463-1.2044	-0.0532924672863879	0.662782370627099	0.12208364280291
143	BMI	1.028	0.9809-1.0774	0.0276262894741949	0.249263500410169	0.0239299595792845
144	hypertensionyes	0.8788	0.7107-1.0867	-0.129171858282138	0.234148570100463	0.108344624475582
145	f_Enterobacteriaceae	0.0272	0.0163-0.0454	-3.60441197970232	1.48194413121941e-33	0.261543324203433
146	sexmale	0.9855	0.8177-1.1877	-0.0146129102444259	0.878128799090087	0.0952120340525158
147	BMI	1.0149	0.9786-1.0526	0.0148055493090439	0.426407226756081	0.0185887406088563
148	hypertensionyes	0.9037	0.7658-1.0664	-0.101278437303825	0.231421144798253	0.0844529439342534
149	f_Prevotellaceae	2.7683	1.0105-7.5838	1.01825027984526	0.048608638958106	0.514168358489258
150	sexmale	0.9344	0.7357-1.1869	-0.067829249956823	0.578707324572683	0.122016356028225
151	BMI	1.0224	0.9759-1.0712	0.0221778338183975	0.351735875397227	0.0237772314842776
152	hypertensionyes	0.8738	0.7072-1.0797	-0.134926631860681	0.212312138556868	0.107941621621714
153	f_Clostridiaceae_1	2.5603	0.4617-14.1985	0.940106820268338	0.282982963448319	0.873993122958198
154	sexmale	0.9537	0.7504-1.212	-0.0474475753848889	0.698351640922954	0.122308874584819
155	BMI	1.0256	0.9787-1.0747	0.0252732742991299	0.290810428646466	0.0238814070675172
156	hypertensionyes	0.8715	0.7046-1.078	-0.137540213489142	0.205850277147785	0.108477816794789
157	f_Peptostreptococcaceae	24.0366	3.1101-185.7713	3.17957816702537	0.00252076034283928	1.04333567119499
158	sexmale	0.9366	0.7393-1.1866	-0.0654731199595611	0.587932629541824	0.12070085771597
159	BMI	1.0256	0.9794-1.0741	0.0253240587623213	0.282920413835031	0.0235400608084226
160	hypertensionyes	0.8981	0.7277-1.1084	-0.107462136166922	0.317646829069758	0.107350923920838
161	f_Akkermansiaceae	0.1087	0.0221-0.534	-2.21924839518012	0.00667435651946217	0.812192358553191
162	sexmale	0.9543	0.7529-1.2097	-0.0467566356435029	0.699416805283407	0.120977013589992
163	BMI	1.0184	0.9722-1.0669	0.0182399944192959	0.442441247084305	0.0237149426560307
164	hypertensionyes	0.8774	0.711-1.0827	-0.130820733989371	0.223786275594886	0.10730600600658
165	f_Acidaminococcaceae	414.8911	3.5112-49024.4451	6.0280159964643	0.0138648265931227	2.43472364065932
166	sexmale	0.9409	0.7418-1.1935	-0.0608661142345339	0.616251259320156	0.121316546904606
167	BMI	1.0287	0.982-1.0776	0.0282806121124067	0.234077352710414	0.0237171215844318
168	hypertensionyes	0.8692	0.704-1.0732	-0.140130272464155	0.193660251371067	0.107556024326254
169	f_Christensenellaceae	89.288	3.4637-2301.6582	4.49186680302032	0.00714417042251172	1.65791749208508
170	sexmale	0.9426	0.7435-1.195	-0.059106186795026	0.625687310682441	0.12103769606093
171	BMI	1.0251	0.9787-1.0736	0.0247613112403315	0.295275920742476	0.0236155252645383
172	hypertensionyes	0.8598	0.6965-1.0615	-0.151017316288428	0.16106276215872	0.107477271038253
173	f_Erysipelotrichaceae	2554.6652	7.9115-824912.9833	7.84567647171322	0.00821006244589752	2.94763097617916
174	sexmale	0.9431	0.7438-1.1957	-0.0586240330255434	0.628646785692005	0.121086750254228
175	BMI	1.0252	0.9788-1.0738	0.0248930525473245	0.292935504936364	0.0236261408016413
176	hypertensionyes	0.8786	0.7118-1.0844	-0.129424475093144	0.229097026630605	0.107384913572622
177	f_Rikenellaceae	573925.6959	4415.0746-74605919.7173	13.2602552173432	1.88858704727637e-07	2.48340571299051
178	sexmale	0.9485	0.7543-1.1927	-0.0528654496176392	0.651424042647454	0.1168928267379
179	BMI	1.0236	0.9788-1.0704	0.023279045874219	0.308420547604478	0.0228149859962649
180	hypertensionyes	0.8851	0.7223-1.0846	-0.122095843248555	0.240035855540702	0.103706454040798
181	f_Tannerellaceae	15505.4666	32.2195-7461925.7012	9.64894792664746	0.00240573117619873	3.15121232097598
182	sexmale	0.9475	0.748-1.2001	-0.0539705959117888	0.654803187033675	0.12058744305265
183	BMI	1.016	0.9699-1.0643	0.0159027599756879	0.502659080985234	0.023694683914724
184	hypertensionyes	0.9008	0.7298-1.1119	-0.104466464199382	0.331605095811405	0.107418299739731
185	f_Desulfovibrionaceae	1059180976.9962	34863.1046-32179129065204.1	20.7807617832012	9.97830715762877e-05	5.26611092318909
186	sexmale	0.9133	0.7222-1.1549	-0.0907398262795442	0.449356378079257	0.119785595810801
187	BMI	1.0227	0.977-1.0705	0.0224395337780975	0.336288790527154	0.0232986153055466
188	hypertensionyes	0.8635	0.7017-1.0627	-0.146742420153727	0.166907954422576	0.105897941997448
189	f_Coriobacteriaceae	30.5052	0.0573-16254.2505	3.41789791636374	0.286845989904026	3.20316928991672
190	sexmale	0.9567	0.7526-1.2161	-0.0442670513290824	0.717909574987405	0.122417396066086
191	BMI	1.0231	0.9762-1.0722	0.0228113467742152	0.340823777090502	0.0239084319112891
192	hypertensionyes	0.8739	0.7065-1.0809	-0.134829250186189	0.214823104115373	0.108458451331221
193	f_Synergistaceae	1.6944	0.0181-158.9227	0.52733983062373	0.820111883693845	2.31687667848349
194	sexmale	0.95	0.7471-1.2079	-0.0513357650005389	0.675671467076104	0.122577467739205
195	BMI	1.0245	0.9775-1.0736	0.0241598090569186	0.313378847970415	0.0239225192665772
196	hypertensionyes	0.8747	0.7067-1.0827	-0.133838774186498	0.219686398924823	0.108809404183465
197	f_Burkholderiaceae	7.7186	0.0853-698.7703	2.04363937912301	0.374744667909821	2.29881770392456
198	sexmale	0.9548	0.7511-1.2138	-0.0462103740371392	0.706159166588367	0.122446559164514
199	BMI	1.0256	0.9786-1.0748	0.0252535230542441	0.291621819156289	0.0239029850127946
200	hypertensionyes	0.8789	0.7102-1.0877	-0.129096229814771	0.236102459217106	0.108735157489073
201	f_Marinifilaceae	2006310309.2432	63218.3984-63672620009476.2	21.4195632050728	6.57682030840485e-05	5.28837375197191
202	sexmale	0.978	0.774-1.2359	-0.0222350677178198	0.852386892407521	0.119389059413377
203	BMI	1.0217	0.9762-1.0694	0.0214892522546037	0.356581263201068	0.0232724679575888
204	hypertensionyes	0.8741	0.7105-1.0754	-0.134546885546725	0.204126024439057	0.105712657024631
205	g_Bacteroides	0.5676	0.2665-1.209	-0.566263493620969	0.143197940794253	0.385744091570634
206	sexmale	0.9481	0.7463-1.2044	-0.0532924672863879	0.662782370627099	0.12208364280291
207	BMI	1.028	0.9809-1.0774	0.0276262894741949	0.249263500410169	0.0239299595792845
208	hypertensionyes	0.8788	0.7107-1.0867	-0.129171858282138	0.234148570100463	0.108344624475582
209	g_Escherichia_Shigella	0.0206	0.012-0.0352	-3.88411849504328	4.7847817554926e-35	0.273705190539388
210	sexmale	1.0083	0.8384-1.2126	0.00825108941166454	0.930224632301392	0.0941490554301102
211	BMI	1.0103	0.9745-1.0473	0.0102008089605083	0.579422181495738	0.0183845989077745
212	hypertensionyes	0.892	0.7574-1.0505	-0.11428789702808	0.171834284022518	0.0834382262428554
213	g_Blautia	4.1987	0.7164-24.6073	1.43478642779327	0.112844579200731	0.902171157192316
214	sexmale	0.9521	0.7496-1.2093	-0.0490830194251805	0.687727749202762	0.121992444408222
215	BMI	1.0228	0.9761-1.0717	0.0225210358281101	0.345537526772877	0.0238362012607298
216	hypertensionyes	0.8679	0.7019-1.0731	-0.141691361394938	0.191712403340349	0.108277752494637
217	g_Clostridium_sensu_stricto_1	2.861	0.4612-17.7485	1.05118491340156	0.259888132415577	0.931181889077796
218	sexmale	0.9525	0.7496-1.2105	-0.048614651795095	0.69120218759733	0.122263408912631
219	BMI	1.0254	0.9785-1.0745	0.0250455931863784	0.294917433534245	0.0238688925087406
220	hypertensionyes	0.872	0.7051-1.0786	-0.13691023545343	0.20778861238097	0.108444206549207
221	g_Faecalibacterium	28.9392	3.8723-216.2724	3.36519537643826	0.00116798556051203	1.02619569324771
222	sexmale	1.0068	0.7933-1.2776	0.00673459505242913	0.955857048609272	0.121560256963364
223	BMI	1.024	0.9779-1.0722	0.023686052081205	0.313946142155225	0.0234809744861027
224	hypertensionyes	0.8485	0.6879-1.0467	-0.16422811716531	0.12617300440791	0.107072754560684
225	g_Prevotella	2.7859	0.9459-8.2051	1.02458563181331	0.0640235599225283	0.551107306040841
226	sexmale	0.9365	0.7372-1.1896	-0.0656115311766063	0.591341734281766	0.1220698833624
227	BMI	1.0225	0.9759-1.0713	0.0222691807944702	0.350160810692121	0.0237971101172389
228	hypertensionyes	0.8737	0.707-1.0797	-0.135012799220427	0.212383516952725	0.108027464884755
229	g_Akkermansia	0.1087	0.0221-0.534	-2.21924839518012	0.00667435651946217	0.812192358553191
230	sexmale	0.9543	0.7529-1.2097	-0.0467566356435029	0.699416805283407	0.120977013589992
231	BMI	1.0184	0.9722-1.0669	0.0182399944192959	0.442441247084305	0.0237149426560307
232	hypertensionyes	0.8774	0.711-1.0827	-0.130820733989371	0.223786275594886	0.10730600600658
233	g_Ruminococcaceae_UCG_002	7773.2743	259.574-232780.5747	8.95844675248317	4.48197762752426e-07	1.73439020247678
234	sexmale	0.8957	0.7111-1.1284	-0.110114874156452	0.350687140170504	0.117798874749809
235	BMI	1.0329	0.9875-1.0804	0.0323692215587346	0.159183954264913	0.0229331071642456
236	hypertensionyes	0.8791	0.717-1.0779	-0.128824542939325	0.216397597510834	0.103985228674935
237	g_Romboutsia	73.8862	2.8159-1938.7236	4.30252615493266	0.0103431316954617	1.66696885345004
238	sexmale	0.9543	0.7526-1.2101	-0.0467539209814478	0.699823548563377	0.121142337526592
239	BMI	1.0282	0.9816-1.0771	0.027841117062792	0.240696851128681	0.0236811890611736
240	hypertensionyes	0.8956	0.7249-1.1065	-0.110262198883959	0.307558176816884	0.107871344603116
241	g_Subdoligranulum	0.1622	0.0192-1.3672	-1.81883253263535	0.0955243089536383	1.08754723584526
242	sexmale	0.942	0.7415-1.1965	-0.0598016121100742	0.624558097563273	0.122062587635732
243	BMI	1.0238	0.9771-1.0727	0.0235143905036776	0.324042704461835	0.0238031244769203
244	hypertensionyes	0.8731	0.7063-1.0793	-0.135678609746825	0.210658843300958	0.108149942425082
245	g_Ruminococcus_2	2.4185	0.1255-46.6155	0.883133054871941	0.558994332539358	1.50959134518978
246	sexmale	0.9537	0.7501-1.2127	-0.0473733390632421	0.699388035554187	0.122560322851138
247	BMI	1.0248	0.9779-1.0739	0.0244558362360467	0.307039014567062	0.0238998411333539
248	hypertensionyes	0.8735	0.706-1.0807	-0.135252199079345	0.214018909620968	0.108607441205821
249	g_Roseburia	336.1892	6.4961-17398.6876	5.81767408045292	0.0041529737074905	2.01350815122218
250	sexmale	0.9661	0.7622-1.2244	-0.0345351084399067	0.775377907536372	0.120915060151949
251	BMI	1.0151	0.9688-1.0636	0.0149783978321221	0.529552763938002	0.0237960667984285
252	hypertensionyes	0.8458	0.6848-1.0446	-0.167510398421864	0.121026871456244	0.107719778159868
253	g_Phascolarctobacterium	307.3268	2.567-36793.9771	5.72791179165263	0.0196445388081841	2.44141716984399
254	sexmale	0.9433	0.7436-1.1968	-0.0583284256582959	0.631312769742753	0.121418630862024
255	BMI	1.0283	0.9816-1.0773	0.0279257965244418	0.240396750459593	0.0237380275190594
256	hypertensionyes	0.8693	0.7039-1.0736	-0.140046848405281	0.194402396452716	0.107671591408508
257	g_Christensenellaceae_R_7_group	90.1729	3.4885-2330.8661	4.50172940627511	0.00706781846692443	1.6593192867942
258	sexmale	0.9428	0.7437-1.1952	-0.0589470061070823	0.626601624233977	0.121031999353802
259	BMI	1.025	0.9786-1.0735	0.0246766712447388	0.296906554641802	0.0236145446619532
260	hypertensionyes	0.8596	0.6963-1.0612	-0.151271547263695	0.16036567672234	0.107478404493638
261	g_Parabacteroides	14884.1592	31.0114-7143762.3962	9.60805278470296	0.00249800732682926	3.14984559034342
262	sexmale	0.9473	0.7479-1.1999	-0.0541332469465874	0.65387112887494	0.120602408636307
263	BMI	1.016	0.9699-1.0643	0.0158514838080374	0.504144031776199	0.0237006637664552
264	hypertensionyes	0.9005	0.7295-1.1115	-0.104852876759855	0.329842874714962	0.107422807994404
265	g_Ruminococcus_torques_group	18.6269	0.2468-1405.7569	2.92460749821469	0.185965333857921	2.20598145221926
266	sexmale	0.9412	0.7405-1.1964	-0.0605898774043454	0.62094263927101	0.122392008082624
267	BMI	1.0228	0.976-1.0718	0.0225177434771928	0.346487371410385	0.023879771249184
268	hypertensionyes	0.8838	0.7142-1.0937	-0.123496724185655	0.256833616556643	0.108697223820452
269	g_Eubacterium_coprostanoligenes_group	26624.5595	240.2093-2951039.9615	10.1895893587846	2.98646303970989e-05	2.40208103914487
270	sexmale	0.9531	0.755-1.2031	-0.0480727204974191	0.686228409781621	0.118878463549043
271	BMI	1.037	0.9906-1.0856	0.0363337668369663	0.121163661109387	0.0233735394038483
272	hypertensionyes	0.8817	0.717-1.0841	-0.125911132229791	0.23349126190448	0.10546093836765
273	g_Alistipes	90420.7035	298.636-27377484.3879	11.4122285415776	0.000112708167123775	2.91479742566336
274	sexmale	0.9843	0.7784-1.2446	-0.0158531787797905	0.894747380343316	0.119722503379693
275	BMI	1.0206	0.975-1.0683	0.0203967142418689	0.382587554430977	0.0233246139201491
276	hypertensionyes	0.8612	0.6997-1.06	-0.149459644674518	0.159468639581993	0.10596245691314
277	g_Ruminococcaceae_UCG_014	32.8286	1.5015-717.7809	3.49129915256147	0.0273162436098725	1.57391080857226
278	sexmale	0.9447	0.7444-1.1987	-0.0569386864572616	0.639763264955383	0.121527849819696
279	BMI	1.0285	0.9817-1.0776	0.0281055321063648	0.238080383727787	0.0237730229274282
280	hypertensionyes	0.8596	0.6956-1.0622	-0.151330479786209	0.1622453063456	0.108005302422162
